word,normal_cnt,abnormal_cnt
银行,13858.0,207.0
有限公司,11259.0,242.0
股份,9855.0,221.0
公告,6493.0,135.0
亿元,5408.0,116.0
亿,5267.0,84.0
年,4853.0,95.0
家,3918.0,71.0
月,3761.0,81.0
资金,3730.0,104.0
金融,3686.0,59.0
公司,3038.0,63.0
中国,3015.0,77.0
新,2848.0,56.0
平安,2758.0,26.0
行,2738.0,65.0
募集,2623.0,75.0
工行,2603.0,31.0
发行,2571.0,22.0
企业,2457.0,47.0
大,2403.0,56.0
贷款,2400.0,30.0
日,2263.0,38.0
A股,2229.0,45.0
万,2227.0,23.0
业务,2121.0,35.0
发展,2023.0,29.0
银行股,2001.0,88.0
进展公告,2001.0,65.0
上市银行,1948.0,20.0
分行,1920.0,37.0
中信银行,1918.0,19.0
助力,1885.0,29.0
基金,1846.0,33.0
建行,1823.0,48.0
银行业,1819.0,39.0
北京,1807.0,22.0
|,1766.0,38.0
股东,1752.0,48.0
农行,1741.0,58.0
超,1739.0,29.0
中行,1736.0,24.0
上海,1729.0,21.0
服务,1712.0,28.0
会,1702.0,51.0
支持,1676.0,19.0
投资者提问,1648.0,40.0
科技股份,1647.0,27.0
不,1641.0,28.0
中,1554.0,26.0
版,1548.0,10.0
浦发银行,1532.0,18.0
招商银行,1522.0,64.0
中国银行,1520.0,26.0
理财产品,1519.0,38.0
上市,1504.0,25.0
兴业银行,1465.0,53.0
业绩,1460.0,21.0
增长,1448.0,23.0
产品,1440.0,23.0
银保监,1419.0,43.0
首次,1419.0,5.0
上半年,1396.0,28.0
机构,1386.0,28.0
宁波,1378.0,10.0
科技,1375.0,10.0
获,1365.0,33.0
融资,1364.0,32.0
市场,1360.0,23.0
万元,1358.0,24.0
民生银行,1343.0,16.0
南京,1291.0,4.0
批复,1291.0,46.0
投资,1290.0,15.0
集团,1290.0,21.0
净利润,1289.0,9.0
近,1265.0,28.0
前,1247.0,17.0
罚,1218.0,10.0
信用卡,1215.0,26.0
部分,1213.0,27.0
董事会,1210.0,38.0
交行,1206.0,22.0
下,1202.0,7.0
集团股份,1199.0,21.0
光大银行,1194.0,70.0
证券,1182.0,28.0
招行,1156.0,28.0
工商银行,1147.0,12.0
已,1146.0,7.0
行业,1135.0,28.0
公开发行股票,1125.0,7.0
净利,1122.0,23.0
理财,1122.0,34.0
持续,1115.0,16.0
―,1097.0,17.0
多家,1082.0,11.0
万亿,1077.0,17.0
交通银行,1072.0,28.0
监管,1060.0,14.0
疫情,1050.0,25.0
再,1049.0,10.0
小,1045.0,9.0
发布,1025.0,28.0
创新,1021.0,12.0
行长,1018.0,14.0
拟,1008.0,26.0
后,998.0,22.0
报告,995.0,10.0
年度,978.0,20.0
股,965.0,48.0
三,963.0,8.0
三季度,959.0,1.0
江苏,957.0,14.0
增持,952.0,14.0
任职资格,950.0,35.0
罚单,948.0,11.0
只,945.0,27.0
成,942.0,16.0
华夏银行,929.0,10.0
进行现金管理,910.0,34.0
违规,905.0,16.0
资产,905.0,21.0
会议决议公告,902.0,24.0
金融科技,902.0,14.0
副行长,899.0,18.0
风险,893.0,10.0
控股,890.0,24.0
六大,859.0,
微企业,850.0,7.0
最,838.0,12.0
上海银行,838.0,12.0
银行板块,835.0,53.0
董事长,834.0,8.0
债券,826.0,9.0
快讯,824.0,47.0
支行,823.0,35.0
落地,817.0,10.0
客户,814.0,8.0
使用部分闲置,811.0,24.0
营收,804.0,23.0
基金管理有限公司,801.0,16.0
规模,799.0,10.0
金融机构,794.0,12.0
央行,789.0,19.0
股价,787.0,17.0
季报,784.0,2.0
管理,783.0,7.0
建设银行,780.0,17.0
深圳,773.0,14.0
利率,768.0,9.0
逾,764.0,24.0
继续,756.0,28.0
强,754.0,41.0
江苏银行,753.0,16.0
农业银行,753.0,23.0
高,752.0,13.0
提供,749.0,16.0
金融服务,746.0,7.0
申请,742.0,13.0
上接,736.0,5.0
上,730.0,16.0
国有,722.0,10.0
人,720.0,13.0
旗下,709.0,10.0
影响,707.0,16.0
上市公司,703.0,12.0
还,702.0,16.0
浙江,700.0,9.0
增,699.0,12.0
资产质量,699.0,4.0
下转,697.0,5.0
股票,695.0,9.0
张家港,694.0,47.0
经济,691.0,12.0
高管,688.0,9.0
贵阳银行,683.0,10.0
杭州银行,678.0,3.0
合作,673.0,12.0
HK,671.0,16.0
城商行,671.0,9.0
提升,670.0,16.0
国际,668.0,17.0
银行理财,668.0,12.0
同比增长,667.0,7.0
交易,663.0,10.0
下降,663.0,4.0
数据,660.0,16.0
获批,660.0,3.0
不良率,660.0,7.0
信贷,657.0,7.0
子公司,656.0,7.0
今年,655.0,8.0
存款,655.0,16.0
政策,655.0,15.0
遭,653.0,18.0
核准,647.0,26.0
账户,643.0,5.0
投资者,643.0,4.0
实现,637.0,11.0
商业银行,632.0,9.0
建设,627.0,17.0
元,627.0,9.0
报,624.0,7.0
农商行,623.0,10.0
疫情防控,621.0,17.0
减持,619.0,11.0
不良,617.0,6.0
增加,614.0,6.0
抗疫,613.0,17.0
广东,610.0,11.0
涨,606.0,41.0
达,600.0,14.0
转型,596.0,7.0
资本,593.0,4.0
一季度,592.0,
好,592.0,12.0
网,592.0,2.0
回应,591.0,4.0
占,588.0,6.0
…,586.0,2.0
市值,582.0,11.0
盈利,581.0,2.0
常熟银行,579.0,16.0
理财子公司,576.0,5.0
股权,576.0,15.0
次,574.0,28.0
新增,572.0,10.0
小微,571.0,7.0
同比,569.0,11.0
万股,568.0,12.0
区块链,566.0,4.0
银保监局,564.0,14.0
专项,559.0,13.0
申购,559.0,8.0
年内,558.0,4.0
完成,556.0,6.0
板块,556.0,25.0
推出,552.0,6.0
提供担保,548.0,15.0
质押,546.0,10.0
信息,542.0,3.0
项目,540.0,7.0
赚,538.0,4.0
券商,537.0,40.0
开展,534.0,11.0
超过,533.0,6.0
暂停,532.0,3.0
利润,528.0,4.0
个人,528.0,3.0
员工,526.0,10.0
看,525.0,9.0
破净,525.0,5.0
增速,524.0,9.0
人民币,524.0,8.0
出炉,523.0,10.0
贷,519.0,11.0
计划,518.0,7.0
连续,517.0,25.0
原油宝,514.0,
SZ,514.0,11.0
分红,508.0,13.0
经营,506.0,11.0
都,503.0,12.0
研究,497.0,13.0
关注,495.0,4.0
半年报,492.0,
开业,492.0,12.0
中小银行,487.0,9.0
平台,486.0,5.0
指数,485.0,13.0
专项报告,485.0,1.0
证券投资基金基金份额发售公告,483.0,4.0
背后,482.0,4.0
零售,482.0,5.0
赎回,482.0,8.0
存放,482.0,2.0
SH,481.0,10.0
仍,478.0,4.0
摘要,475.0,8.0
首批,475.0,6.0
五大,472.0,5.0
最大,472.0,6.0
年报,468.0,5.0
张,467.0,4.0
打造,465.0,8.0
茅台,463.0,9.0
非,463.0,5.0
使用,462.0,17.0
未来,460.0,6.0
普惠金融,458.0,7.0
ST,457.0,1.0
共,456.0,9.0
工作,454.0,5.0
实施,453.0,7.0
全面,449.0,8.0
评级,447.0,5.0
江阴银行,447.0,13.0
原,447.0,6.0
调整,446.0,8.0
资管,446.0,10.0
加速,443.0,6.0
倍,443.0,12.0
估值,441.0,14.0
丨,440.0,10.0
哪家,438.0,7.0
未,438.0,4.0
更新,437.0,12.0
电子,436.0,3.0
LPR,435.0,
最高,434.0,4.0
可转债,433.0,3.0
布局,432.0,10.0
更,430.0,5.0
发力,430.0,5.0
召开,430.0,11.0
请问,428.0,7.0
资金购买,425.0,16.0
突破,425.0,8.0
技术,423.0,4.0
情况,422.0,2.0
外资,422.0,12.0
深圳市,421.0,13.0
光大,420.0,15.0
招商,420.0,8.0
｜,419.0,6.0
IPO,418.0,12.0
开放,418.0,5.0
买,416.0,33.0
时代,416.0,6.0
创业板,414.0,6.0
涨停,413.0,107.0
均,412.0,7.0
港股,411.0,18.0
产业,411.0,3.0
财经,408.0,9.0
银行理财子公司,406.0,1.0
公布,400.0,7.0
消费,397.0,13.0
加大,396.0,6.0
使用闲置,395.0,26.0
疫,394.0,6.0
期,394.0,6.0
联合,393.0,5.0
永续债,392.0,2.0
正式,391.0,8.0
大宗交易,391.0,6.0
定增,388.0,1.0
名单,388.0,15.0
保险,387.0,21.0
披露,387.0,3.0
升级,387.0,6.0
授信,387.0,12.0
中行原油宝,387.0,
复工复产,386.0,1.0
点评,385.0,6.0
现,385.0,4.0
中心,384.0,8.0
类,383.0,14.0
聚焦,382.0,4.0
模式,380.0,9.0
金,380.0,9.0
邮储银行,379.0,3.0
广州,378.0,10.0
康得,376.0,
最新,374.0,7.0
兴业,374.0,12.0
推进,373.0,4.0
全球,373.0,7.0
跨境,372.0,17.0
持股,371.0,9.0
半年度,369.0,
浦发,369.0,9.0
山东,368.0,10.0
去年,366.0,8.0
个股,365.0,15.0
业绩快报,365.0,30.0
跌,364.0,11.0
问题,363.0,11.0
迎,363.0,8.0
转债,361.0,10.0
降,361.0,1.0
称,361.0,6.0
试点,360.0,6.0
百亿,360.0,15.0
材料,359.0,8.0
中信,359.0,4.0
购买,359.0,7.0
成交,357.0,9.0
保障,357.0,7.0
天,356.0,5.0
无,356.0,7.0
董事,356.0,2.0
临时,354.0,6.0
稳健,353.0,6.0
压力,351.0,1.0
携手,351.0,9.0
线上,351.0,9.0
不良贷款,350.0,1.0
签订,350.0,4.0
大涨,349.0,37.0
不超,348.0,8.0
合计,348.0,7.0
担保,347.0,10.0
启动,346.0,4.0
今日,346.0,8.0
有望,346.0,11.0
第一,346.0,1.0
拨备,346.0,3.0
结构性,345.0,9.0
成功,344.0,3.0
破,344.0,8.0
一年,344.0,4.0
集体,344.0,2.0
点,343.0,8.0
积极,342.0,11.0
收益,340.0,4.0
药业,340.0,13.0
重点,340.0,1.0
债,339.0,4.0
净流入,338.0,11.0
内,338.0,8.0
收入,337.0,2.0
上线,337.0,1.0
前三季,337.0,
发放,336.0,16.0
总,336.0,15.0
亿股,335.0,10.0
无锡银行,334.0,12.0
贵州,334.0,13.0
信用,333.0,4.0
支付,333.0,12.0
汽车,331.0,6.0
推动,331.0,1.0
上涨,331.0,16.0
做,331.0,8.0
社保基金,330.0,3.0
下滑,330.0,
认购,329.0,5.0
办理,329.0,5.0
稳,328.0,7.0
进行,327.0,3.0
提示性公告,327.0,8.0
迎来,327.0,2.0
活动,326.0,5.0
万亿元,325.0,2.0
拉升,325.0,20.0
预期,324.0,1.0
精准,324.0,5.0
战略,323.0,5.0
相关,322.0,5.0
策略,321.0,11.0
战,321.0,4.0
智能,319.0,5.0
北水,318.0,6.0
杭州,317.0,1.0
信托,317.0,5.0
企业复工复产,316.0,2.0
重庆,313.0,6.0
全资子公司,312.0,9.0
加仓,312.0,5.0
房贷,311.0,1.0
提速,310.0,5.0
成立,309.0,5.0
号,306.0,3.0
协议,305.0,4.0
正,304.0,3.0
笔,303.0,5.0
出,303.0,7.0
开启,302.0,6.0
银保监分局,301.0,8.0
全,301.0,2.0
能力,299.0,3.0
系统,299.0,4.0
沪,299.0,7.0
事件,298.0,1.0
首家,298.0,2.0
到期赎回,297.0,8.0
全国,297.0,2.0
方案,297.0,7.0
表现,296.0,5.0
行动,296.0,5.0
成为,296.0,2.0
设立,295.0,4.0
核心,295.0,4.0
费率优惠活动,295.0,2.0
价值,294.0,8.0
